color,bestColor,contrast,compliance
#007878,#ffff00,4.94,AA
#007880,#ffff00,4.89,AA
#007888,#ffff00,4.84,AA
#007890,#ffff00,4.78,AA
#007898,#ffff00,4.72,AA
#0078a0,#ffff00,4.66,AA
#0078a8,#ffff00,4.6,AA
#0078b0,#ffff00,4.53,AA
#0078b8,#ffff00,4.47,None
#0078c0,#ffff00,4.4,None
#0078c8,#ffff00,4.33,None
#0078d0,#ffff00,4.25,None
#0078d8,#ffff00,4.18,None
#0078e0,#ffff00,4.11,None
#0078e8,#ffff00,4.03,None
#0078f0,#ffff00,3.95,None
#0078f8,#ffff00,3.88,None
#008000,#ffff00,4.78,AA
#008008,#ffff00,4.78,AA
#008010,#ffff00,4.78,AA
#008018,#ffff00,4.77,AA
#008020,#ffff00,4.76,AA
#008028,#ffff00,4.75,AA
#008030,#ffff00,4.73,AA
#008038,#ffff00,4.72,AA
#008040,#ffff00,4.7,AA
#008048,#ffff00,4.68,AA
#008050,#ffff00,4.65,AA
#008058,#ffff00,4.62,AA
#008060,#ffff00,4.59,AA
#008068,#ffff00,4.56,AA
#008070,#ffff00,4.53,AA
#008078,#ffff00,4.49,None
#008080,#ffff00,4.45,None
#008088,#ffff00,4.4,None
#008090,#ffff00,4.36,None
#008098,#ffff00,4.31,None
#0080a0,#ffff00,4.26,None
#0080a8,#ffff00,4.2,None
#0080b0,#ffff00,4.15,None
#0080b8,#ffff00,4.09,None
#0080c0,#ffff00,4.03,None
#0080c8,#ffff00,3.97,None
#0080d0,#ffff00,3.91,None
#0080d8,#ffff00,3.85,None
#0080e0,#ffff00,3.79,None
#0080e8,#ffff00,3.72,None
#0080f0,#ffff00,3.66,None
#0080f8,#ffff00,3.59,None
#008800,#ffff00,4.32,None
#008808,#ffff00,4.32,None
#008810,#ffff00,4.32,None
#008818,#ffff00,4.31,None
#008820,#ffff00,4.31,None
#008828,#ffff00,4.3,None
#008830,#ffff00,4.28,None
#008838,#ffff00,4.27,None
#008840,#ffff00,4.26,None
#008848,#ffff00,4.24,None
#008850,#ffff00,4.22,None
#008858,#ffff00,4.19,None
#008860,#ffff00,4.17,None
#008868,#ffff00,4.14,None
#008870,#ffff00,4.11,None
#008878,#ffff00,4.08,None
#008880,#ffff00,4.05,None
#008888,#ffff00,4.01,None
#008890,#ffff00,3.97,None
#008898,#ffff00,3.93,None
#0088a0,#ffff00,3.89,None
#0088a8,#ffff00,3.84,None
#0088b0,#ffff00,3.8,None
#0088b8,#ffff00,3.75,None
#0088c0,#ffff00,3.7,None
#0088c8,#ffff00,3.65,None
#0088d0,#ffff00,3.6,None
#0088d8,#ffff00,3.55,None
#0088e0,#ffff00,3.49,None
#0088e8,#ffff00,3.44,None
#0088f0,#ffff00,3.38,None
#0088f8,#ffff00,3.33,None
#009000,#ffff00,3.92,None
#009008,#ffff00,3.92,None
#009010,#ffff00,3.91,None
#009018,#ffff00,3.91,None
#009020,#ffff00,3.9,None
#009028,#ffff00,3.9,None
#009030,#ffff00,3.89,None
#009038,#ffff00,3.88,None
#009040,#ffff00,3.86,None
#009048,#ffff00,3.85,None
#009050,#ffff00,3.83,None
#009058,#ffff00,3.81,None
#009060,#ffff00,3.79,None
#009068,#ffff00,3.77,None
#009070,#ffff00,3.74,None
#009078,#ffff00,3.72,None
#009080,#ffff00,3.69,None
#009088,#ffff00,3.66,None
#009090,#ffff00,3.63,None
#009098,#ffff00,3.59,None
#0090a0,#ffff00,3.56,None
#0090a8,#ffff00,3.52,None
#0090b0,#ffff00,3.48,None
#0090b8,#ffff00,3.44,None
#0090c0,#ffff00,3.4,None
#0090c8,#ffff00,3.36,None
#0090d0,#ffff00,3.31,None
#0090d8,#ffff00,3.27,None
#0090e0,#ffff00,3.22,None
#0090e8,#ffff00,3.18,None
#0090f0,#ffff00,3.13,None
#0090f8,#ffff00,3.08,None
#009800,#ffff00,3.56,None
#009808,#ffff00,3.56,None
#009810,#ffff00,3.56,None
#009818,#ffff00,3.55,None
#009820,#ffff00,3.55,None
#009828,#ffff00,3.54,None
#009830,#ffff00,3.53,None
#009838,#ffff00,3.52,None
#009840,#ffff00,3.51,None
#009848,#ffff00,3.5,None
#009850,#ffff00,3.49,None
#009858,#ffff00,3.47,None
#009860,#ffff00,3.46,None
#009868,#ffff00,3.44,None
#009870,#ffff00,3.42,None
#009878,#ffff00,3.39,None
#009880,#ffff00,3.37,None
#009888,#ffff00,3.34,None
#009890,#ffff00,3.32,None
#009898,#ffff00,3.29,None
#0098a0,#ffff00,3.26,None
