color,bestColor,contrast,compliance
#2080a0,#ffa500,2.28,None
#2080b0,#ffa500,2.23,None
#2080c0,#800080,2.2,None
#2080d0,#800080,2.27,None
#2080e0,#800080,2.34,None
#2080f0,#800080,2.43,None
#209000,#800080,2.27,None
#209010,#800080,2.27,None
#209020,#800080,2.27,None
#209030,#800080,2.28,None
#209040,#800080,2.3,None
#209050,#800080,2.32,None
#209060,#800080,2.34,None
#209070,#800080,2.37,None
#209080,#800080,2.41,None
#209090,#800080,2.45,None
#2090a0,#800080,2.49,None
#2090b0,#800080,2.55,None
#2090c0,#800080,2.61,None
#2090d0,#800080,2.67,None
#2090e0,#800080,2.75,None
#2090f0,#800080,2.83,None
#20a000,#800080,2.73,None
#20a010,#800080,2.73,None
#20a020,#800080,2.74,None
#20a030,#800080,2.75,None
#20a040,#800080,2.76,None
#20a050,#800080,2.78,None
#20a060,#800080,2.81,None
#20a070,#800080,2.84,None
#20a080,#800080,2.87,None
#20a090,#800080,2.91,None
#20a0a0,#800080,2.96,None
#20a0b0,#800080,3.01,None
#20a0c0,#800080,3.07,None
#20a0d0,#800080,3.14,None
#20a0e0,#800080,3.21,None
#20a0f0,#800080,3.3,None
#20b000,#800080,3.26,None
#20b010,#800080,3.26,None
#20b020,#800080,3.27,None
#20b030,#800080,3.28,None
#20b040,#800080,3.29,None
#20b050,#800080,3.31,None
#20b060,#800080,3.34,None
#20b070,#800080,3.37,None
#20b080,#800080,3.4,None
#20b090,#800080,3.44,None
#20b0a0,#800080,3.49,None
#20b0b0,#800080,3.54,None
#20b0c0,#800080,3.6,None
#20b0d0,#800080,3.67,None
#20b0e0,#800080,3.74,None
#20b0f0,#800080,3.83,None
#20c000,#800080,3.86,None
#20c010,#800080,3.86,None
#20c020,#800080,3.87,None
#20c030,#800080,3.88,None
#20c040,#800080,3.89,None
#20c050,#800080,3.91,None
#20c060,#800080,3.93,None
#20c070,#800080,3.96,None
#20c080,#800080,4.0,None
#20c090,#800080,4.04,None
#20c0a0,#800080,4.09,None
#20c0b0,#800080,4.14,None
#20c0c0,#800080,4.2,None
#20c0d0,#800080,4.27,None
#20c0e0,#800080,4.34,None
#20c0f0,#800080,4.42,None
#20d000,#800080,4.52,AA
#20d010,#800080,4.53,AA
#20d020,#800080,4.53,AA
#20d030,#800080,4.54,AA
#20d040,#800080,4.56,AA
#20d050,#800080,4.57,AA
#20d060,#800080,4.6,AA
#20d070,#800080,4.63,AA
#20d080,#800080,4.66,AA
#20d090,#800080,4.7,AA
#20d0a0,#800080,4.75,AA
#20d0b0,#800080,4.8,AA
#20d0c0,#800080,4.86,AA
#20d0d0,#800080,4.93,AA
#20d0e0,#800080,5.01,AA
#20d0f0,#800080,5.09,AA
#20e000,#800080,5.26,AA
#20e010,#800080,5.26,AA
#20e020,#800080,5.27,AA
#20e030,#800080,5.28,AA
#20e040,#800080,5.29,AA
#20e050,#800080,5.31,AA
#20e060,#800080,5.33,AA
#20e070,#800080,5.36,AA
#20e080,#800080,5.4,AA
#20e090,#800080,5.44,AA
#20e0a0,#800080,5.49,AA
#20e0b0,#800080,5.54,AA
#20e0c0,#800080,5.6,AA
#20e0d0,#800080,5.67,AA
#20e0e0,#800080,5.74,AA
#20e0f0,#800080,5.82,AA
#20f000,#800080,6.07,AA
#20f010,#800080,6.07,AA
#20f020,#800080,6.08,AA
#20f030,#800080,6.09,AA
#20f040,#800080,6.1,AA
